Entry Label,Description,Phase,Date,Start Time,Stop Time,Duration Hours,Hourly Rate,Amount Earned,Week of,Notes,Submitted?,Submitted Date,Invoice / Pay Period
Apr 28 – On-Boarding/Phase 2,On-Boarding/Phase 2,Phase 2,4/28/2026,09:00:00,09:59:00,0.9833,$25.00,$24.58,2026-04-27,,,,
Apr 28 – ADX_Prom0,ADX_Prom0,Phase 2,4/28/2026,10:42:00,12:51:00,2.1407,$25.00,$53.52,2026-04-27,,,,
"Apr 28 – Creative Call: Ann, Katie & Justin","Creative Call: Ann, Katie & Justin",Phase 2,4/28/2026,12:57:00,14:37:00,1.6667,$25.00,$41.67,2026-04-27,,,,
Apr 28 – adx_promo_removals,adx_promo_removals,Phase 2,4/28/2026,15:00:00,17:03:00,2.0500,$25.00,$51.25,2026-04-27,,,,
Apr 29 - 1:1 Morning Meeting (Ann),1:1 Morning Meeting (Ann),Phase 1,4/29/2026,09:03:16,13:02:08,3.9811,$25.00,$99.53,2026-04-27,,,,
Apr 29 - Arc Training,Arc Training,Phase 2,4/29/2026,13:36:40,16:47:56,3.1878,$25.00,$79.70,2026-04-27,,,,
Apr 30 - Arc Training: Ann,Arc Training: Ann,Phase 2,4/30/2026,09:11:24,14:14:51,5.0575,$25.00,$126.44,2026-04-27,,,,
Apr 30 - Arc Training: Ann,Arc Training: Ann,Phase 2,4/30/2026,14:37:01,16:41:17,2.0711,$25.00,$51.78,2026-04-27,,,,
May 1 - 1:1 Arc Training,1:1 Arc Training,Phase 1,5/1/2026,08:59:52,11:03:32,2.0611,$25.00,$51.53,2026-04-27,,,,
May 1 - Darkr,Darkr,Phase 2,5/1/2026,11:23:30,12:20:57,0.9575,$25.00,$23.94,2026-04-27,,,,
May 4 - Standup,Standup,Phase 2,5/4/2026,10:01:34,12:33:56,2.5394,$25.00,$63.49,2026-05-04,,,,
May 5 - 1:1 Ann,1:1 Ann,Phase 2,5/5/2026,09:02:25,11:30:13,2.4633,$25.00,$61.58,2026-05-04,,,,
May 5 - Standup,Standup,Phase 2,5/5/2026,12:12:19,12:15:57,0.0606,$25.00,$1.52,2026-05-04,,,,
May 6 - Fact Checker & Megaphone,Fact Checker & Megaphone,Phase 2,5/6/2026,09:03:45,17:00:00,7.9375,$25.00,$198.44,2026-05-04,,,,
May 7 - Spreaker to Megaphone,Spreaker to Megaphone,Phase 2,5/7/2026,09:00:30,17:15:42,8.2533,$25.00,$206.33,2026-05-04,,,,
May 8 - Spreaker to Megaphone,Spreaker to Megaphone,Phase 2,5/8/2026,08:59:50,17:10:00,8.1694,$25.00,$204.24,2026-05-04,,,,
May 9 - recurring_spreaker to megaphone,recurring_spreaker to megaphone,Phase 2,5/9/2026,09:59:46,11:09:49,1.1675,$25.00,$29.19,2026-05-04,,,,
May 11 - Spreaker to Megaphone cleanup,Spreaker to Megaphone cleanup,Phase 2,5/11/2026,09:12:47,17:30:00,8.2869,$25.00,$207.17,2026-05-11,,,,
May 12 - Spreaker to Megaphone,Spreaker to Megaphone,Phase 2,5/12/2026,09:00:51,17:10:58,8.1686,$25.00,$204.22,2026-05-11,,,,
May 13 - Spreaker to Megaphone + Artomators,Spreaker to Megaphone + Artomators,Phase 2,5/13/2026,09:00:00,16:10:31,7.1753,$25.00,$179.38,2026-05-11,,,,
May 13 - Artomators,Artomators,Phase 2,5/13/2026,16:11:04,17:12:06,1.0172,$25.00,$25.43,2026-05-11,,,,
"May 14 - Artomators, Standup, Migration","Artomators, Standup, Migration",Phase 2,5/14/2026,09:00:29,17:04:13,8.0622,$30.00,$241.87,2026-05-11,,,,
May 15 - Arc Review,Arc Review,Phase 2,5/15/2026,09:00:00,11:12:32,2.2089,$30.00,$66.27,2026-05-11,,,,
May 15 - Arc Work,Arc Work,Phase 2,5/15/2026,11:13:02,12:00:18,0.7878,$30.00,$23.63,2026-05-11,,,,
May 15 - arc cli self-training,arc cli self-training,Phase 2,5/15/2026,12:40:37,13:15:25,0.5800,$30.00,$17.40,2026-05-11,,,,
May 16 - OmniBot + SKILL,OmniBot + SKILL,Phase 2,5/16/2026,11:00:00,12:32:15,1.5375,$30.00,$46.13,2026-05-11,,,,
May 18 - Creative-Console,Creative-Console,Phase 2,5/18/2026,09:01:07,17:12:31,8.1900,$30.00,$245.70,2026-05-18,,,,
May 19 - Creative Console Cleanup for Migration,Creative Console Cleanup for Migration,Phase 2,5/19/2026,09:00:17,16:55:26,7.9192,$30.00,$237.58,2026-05-18,,,,
May 20 - TTS quality Score cleanup,TTS quality Score cleanup,Phase 2,5/20/2026,08:51:54,09:51:54,1.0000,$30.00,$30.00,2026-05-18,,,,
"May 20 - Standup + Arc Cleanup (Make, Quality Scores, Spreaker Remnants)","Standup + Arc Cleanup (Make, Quality Scores, Spreaker Remnants)",Phase 2,5/20/2026,09:52:59,17:13:52,7.3481,$30.00,$220.44,2026-05-18,,,,
May 21 - Creative Console QC,Creative Console QC,Phase 2,5/21/2026,09:04:29,17:11:14,8.1125,$30.00,$243.38,2026-05-18,,,,
